service,service_call
Restaurants_2,"{'method': 'ReserveRestaurant', 'parameters': {'date': '2019-03-01', 'location': 'Oakland', 'number_of_seats': '2', 'restaurant_name': 'Sidebar', 'time': '19:00'}}"
Restaurants_2,"{'method': 'ReserveRestaurant', 'parameters': {'date': '2019-03-01', 'location': 'Lafayette', 'number_of_seats': '2', 'restaurant_name': 'The Cooperage American Grille', 'time': '11:45'}}"
Restaurants_2,"{'method': 'ReserveRestaurant', 'parameters': {'date': '2019-03-12', 'location': 'Walnut Creek', 'number_of_seats': '2', 'restaurant_name': ""Vanessa's Bistro 2 Vietnamese Restaurant"", 'time': '18:15'}}"
Restaurants_2,"{'method': 'ReserveRestaurant', 'parameters': {'date': '2019-03-07', 'location': 'Danville', 'number_of_seats': '3', 'restaurant_name': 'Blue Gingko Blackhawk', 'time': '17:00'}}"
Restaurants_2,"{'method': 'ReserveRestaurant', 'parameters': {'date': '2019-03-01', 'location': 'San Francisco', 'number_of_seats': '3', 'restaurant_name': 'Hakka Restaurant', 'time': '17:00'}}"
Restaurants_2,"{'method': 'ReserveRestaurant', 'parameters': {'date': '2019-03-01', 'location': 'San Francisco', 'number_of_seats': '1', 'restaurant_name': 'The Grill', 'time': '17:30'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-03', 'destination_city': 'Seattle', 'origin_city': 'Vancouver'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-07', 'destination_city': 'San Diego', 'origin_city': 'Mexico City'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-06', 'destination_city': 'New York', 'flight_class': 'Economy', 'number_checked_bags': '0', 'origin_city': 'Seattle'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'airlines': 'United Airlines', 'departure_date': '2019-03-12', 'destination_city': 'Las Vegas', 'number_checked_bags': '0', 'origin_city': 'Phoenix'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'airlines': 'Delta Airlines', 'departure_date': '2019-03-05', 'destination_city': 'Atlanta', 'number_checked_bags': '0', 'origin_city': 'Washington'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'airlines': 'Alaska Airlines', 'departure_date': '2019-03-11', 'destination_city': 'New York', 'origin_city': 'San Francisco'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-03', 'destination_city': 'Seattle', 'flight_class': 'Economy', 'origin_city': 'London', 'passengers': '1'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-08', 'destination_city': 'Washington', 'flight_class': 'Economy', 'origin_city': 'Atlanta'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-04', 'destination_city': 'Portland', 'origin_city': 'Phoenix'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'airlines': 'Delta Airlines', 'departure_date': '2019-03-07', 'destination_city': 'Washington', 'origin_city': 'Chicago'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-03', 'destination_city': 'Chicago', 'origin_city': 'London'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-01', 'destination_city': 'London', 'origin_city': 'Washington'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'airlines': 'American Airlines', 'departure_date': '2019-03-11', 'destination_city': 'Mexico City', 'origin_city': 'Seattle'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-07', 'destination_city': 'San Diego', 'origin_city': 'Mexico City'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-13', 'destination_city': 'Chicago', 'flight_class': 'Economy', 'origin_city': 'Atlanta'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'airlines': 'Alaska Airlines', 'departure_date': '2019-03-07', 'destination_city': 'Phoenix', 'number_checked_bags': '0', 'origin_city': 'San Diego'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-04', 'destination_city': 'Paris', 'origin_city': 'Chicago'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-03', 'destination_city': 'Vancouver', 'number_checked_bags': '0', 'origin_city': 'Phoenix'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'airlines': 'Alaska Airlines', 'departure_date': '2019-03-13', 'destination_city': 'Phoenix', 'origin_city': 'San Francisco'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-05', 'destination_city': 'San Francisco', 'flight_class': 'Economy', 'origin_city': 'Washington'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-11', 'destination_city': 'Seattle', 'origin_city': 'Vancouver'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-07', 'destination_city': 'Seattle', 'number_checked_bags': '0', 'origin_city': 'New York'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-13', 'destination_city': 'Washington', 'flight_class': 'Economy', 'origin_city': 'Atlanta'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-07', 'destination_city': 'Seattle', 'origin_city': 'Toronto', 'passengers': '1'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-03', 'destination_city': 'Chicago', 'flight_class': 'Economy', 'number_checked_bags': '0', 'origin_city': 'San Francisco', 'passengers': '4'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'airlines': 'United Airlines', 'departure_date': '2019-03-04', 'destination_city': 'Paris', 'flight_class': 'Economy', 'number_checked_bags': '0', 'origin_city': 'Las Vegas'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-08', 'destination_city': 'Paris', 'origin_city': 'San Francisco'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'airlines': 'United Airlines', 'departure_date': '2019-03-02', 'destination_city': 'San Francisco', 'origin_city': 'Las Vegas'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'airlines': 'United Airlines', 'departure_date': '2019-03-06', 'destination_city': 'Seattle', 'origin_city': 'Toronto'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-01', 'destination_city': 'San Diego', 'origin_city': 'Atlanta'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-11', 'destination_city': 'Nairobi', 'origin_city': 'Philadelphia'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-07', 'destination_city': 'Las Vegas', 'origin_city': 'New York'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-12', 'destination_city': 'San Diego', 'origin_city': 'Seattle', 'passengers': '2'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-09', 'destination_city': 'Portland', 'origin_city': 'New York'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-01', 'destination_city': 'San Francisco', 'origin_city': 'Philadelphia'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'airlines': 'Delta Airlines', 'departure_date': '2019-03-14', 'destination_city': 'Sydney', 'origin_city': 'San Diego'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-14', 'destination_city': 'Seattle', 'number_checked_bags': '0', 'origin_city': 'Paris'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-10', 'destination_city': 'New York', 'origin_city': 'Phoenix'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-06', 'destination_city': 'Seattle', 'origin_city': 'Mexico City'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-11', 'destination_city': 'Mexico City', 'number_checked_bags': '0', 'origin_city': 'Phoenix'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-12', 'destination_city': 'Vancouver', 'origin_city': 'Phoenix'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-11', 'destination_city': 'Atlanta', 'origin_city': 'Nairobi', 'passengers': '1'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-08', 'destination_city': 'New York', 'flight_class': 'Premium Economy', 'origin_city': 'Washington'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-08', 'destination_city': 'London', 'origin_city': 'Washington'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-11', 'destination_city': 'Seattle', 'number_checked_bags': '0', 'origin_city': 'Sydney'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-04', 'destination_city': 'Atlanta', 'number_checked_bags': '0', 'origin_city': 'Los Angeles'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-02', 'destination_city': 'New York', 'flight_class': 'Economy', 'origin_city': 'Los Angeles'}}"
Flights_3,"{'method': 'SearchOnewayFlight', 'parameters': {'departure_date': '2019-03-14', 'destination_city': 'Seattle', 'flight_class': 'Premium Economy', 'number_checked_bags': '0', 'origin_city': 'Vancouver'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'Southwest Airlines', 'departure_date': '2019-03-06', 'destination_city': 'Seattle', 'flight_class': 'Economy', 'number_checked_bags': '0', 'origin_city': 'Atlanta', 'passengers': '4', 'return_date': '2019-03-08'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'Southwest Airlines', 'departure_date': '2019-03-03', 'destination_city': 'Atlanta', 'number_checked_bags': '0', 'origin_city': 'Philadelphia', 'passengers': '4', 'return_date': '2019-03-05'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'American Airlines', 'departure_date': '2019-03-11', 'destination_city': 'Seattle', 'number_checked_bags': '0', 'origin_city': 'London', 'return_date': '2019-03-13'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'American Airlines', 'departure_date': '2019-03-06', 'destination_city': 'Portland', 'origin_city': 'San Diego', 'return_date': '2019-03-09'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'Delta Airlines', 'departure_date': '2019-03-02', 'destination_city': 'New York', 'number_checked_bags': '0', 'origin_city': 'London', 'return_date': '2019-03-04'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'United Airlines', 'departure_date': '2019-03-07', 'destination_city': 'Seattle', 'number_checked_bags': '0', 'origin_city': 'Atlanta', 'passengers': '1', 'return_date': '2019-03-09'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'American Airlines', 'departure_date': '2019-03-09', 'destination_city': 'Las Vegas', 'origin_city': 'Los Angeles', 'return_date': '2019-03-11'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'American Airlines', 'departure_date': '2019-03-04', 'destination_city': 'Chicago', 'flight_class': 'Economy', 'number_checked_bags': '0', 'origin_city': 'London', 'return_date': '2019-03-06'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'American Airlines', 'departure_date': '2019-03-05', 'destination_city': 'Chicago', 'origin_city': 'Nairobi', 'return_date': '2019-03-07'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'Alaska Airlines', 'departure_date': '2019-03-10', 'destination_city': 'Seattle', 'number_checked_bags': '0', 'origin_city': 'Los Angeles', 'passengers': '2', 'return_date': '2019-03-12'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'United Airlines', 'departure_date': '2019-03-01', 'destination_city': 'San Francisco', 'flight_class': 'Premium Economy', 'number_checked_bags': '0', 'origin_city': 'New York', 'passengers': '1', 'return_date': '2019-03-03'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'Delta Airlines', 'departure_date': '2019-03-09', 'destination_city': 'New York', 'number_checked_bags': '0', 'origin_city': 'Vancouver', 'return_date': '2019-03-11'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'Delta Airlines', 'departure_date': '2019-03-11', 'destination_city': 'Phoenix', 'origin_city': 'San Francisco', 'return_date': '2019-03-13'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'United Airlines', 'departure_date': '2019-03-08', 'destination_city': 'Los Angeles', 'number_checked_bags': '0', 'origin_city': 'Delhi', 'passengers': '2', 'return_date': '2019-03-12'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'Delta Airlines', 'departure_date': '2019-03-02', 'destination_city': 'Chicago', 'origin_city': 'Washington', 'return_date': '2019-03-04'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'Delta Airlines', 'departure_date': '2019-03-11', 'destination_city': 'New York', 'flight_class': 'Premium Economy', 'origin_city': 'Atlanta', 'return_date': '2019-03-13'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'Southwest Airlines', 'departure_date': '2019-03-10', 'destination_city': 'San Diego', 'flight_class': 'Premium Economy', 'origin_city': 'New York', 'passengers': '2', 'return_date': '2019-03-13'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'Delta Airlines', 'departure_date': '2019-03-01', 'destination_city': 'Sydney', 'flight_class': 'Economy', 'number_checked_bags': '0', 'origin_city': 'Phoenix', 'return_date': '2019-03-03'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'Southwest Airlines', 'departure_date': '2019-03-07', 'destination_city': 'Phoenix', 'origin_city': 'Atlanta', 'return_date': '2019-03-09'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'Delta Airlines', 'departure_date': '2019-03-12', 'destination_city': 'Chicago', 'flight_class': 'Economy', 'origin_city': 'Sydney', 'passengers': '3', 'return_date': '2019-03-14'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'Delta Airlines', 'departure_date': '2019-03-02', 'destination_city': 'Washington', 'origin_city': 'Atlanta', 'passengers': '3', 'return_date': '2019-03-04'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'United Airlines', 'departure_date': '2019-03-02', 'destination_city': 'Seattle', 'flight_class': 'Economy', 'number_checked_bags': '0', 'origin_city': 'Phoenix', 'passengers': '4', 'return_date': '2019-03-04'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'Southwest Airlines', 'departure_date': '2019-03-06', 'destination_city': 'New York', 'flight_class': 'Economy', 'origin_city': 'Phoenix', 'return_date': '2019-03-08'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'Delta Airlines', 'departure_date': '2019-03-11', 'destination_city': 'Sydney', 'origin_city': 'Los Angeles', 'passengers': '4', 'return_date': '2019-03-13'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'United Airlines', 'departure_date': '2019-03-04', 'destination_city': 'Chicago', 'flight_class': 'Economy', 'origin_city': 'San Francisco', 'return_date': '2019-03-06'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'American Airlines', 'departure_date': '2019-03-06', 'destination_city': 'London', 'origin_city': 'San Francisco', 'return_date': '2019-03-08'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'American Airlines', 'departure_date': '2019-03-12', 'destination_city': 'Philadelphia', 'origin_city': 'New York', 'passengers': '1', 'return_date': '2019-03-14'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'American Airlines', 'departure_date': '2019-03-11', 'destination_city': 'Toronto', 'number_checked_bags': '0', 'origin_city': 'Chicago', 'return_date': '2019-03-13'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'Delta Airlines', 'departure_date': '2019-03-03', 'destination_city': 'Seattle', 'origin_city': 'New York', 'passengers': '4', 'return_date': '2019-03-05'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'Delta Airlines', 'departure_date': '2019-03-08', 'destination_city': 'San Francisco', 'flight_class': 'Economy', 'number_checked_bags': '0', 'origin_city': 'Seattle', 'return_date': '2019-03-10'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'United Airlines', 'departure_date': '2019-03-05', 'destination_city': 'New York', 'origin_city': 'Phoenix', 'return_date': '2019-03-07'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'American Airlines', 'departure_date': '2019-03-10', 'destination_city': 'Los Angeles', 'flight_class': 'Economy', 'origin_city': 'Delhi', 'return_date': '2019-03-14'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'American Airlines', 'departure_date': '2019-03-06', 'destination_city': 'Chicago', 'origin_city': 'New York', 'return_date': '2019-03-08'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'American Airlines', 'departure_date': '2019-03-11', 'destination_city': 'Mexico City', 'number_checked_bags': '0', 'origin_city': 'San Francisco', 'passengers': '3', 'return_date': '2019-03-13'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'Delta Airlines', 'departure_date': '2019-03-06', 'destination_city': 'Seattle', 'flight_class': 'Economy', 'origin_city': 'San Francisco', 'passengers': '2', 'return_date': '2019-03-08'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'Delta Airlines', 'departure_date': '2019-03-01', 'destination_city': 'Washington', 'flight_class': 'Economy', 'origin_city': 'Chicago', 'passengers': '3', 'return_date': '2019-03-03'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'American Airlines', 'departure_date': '2019-03-08', 'destination_city': 'Phoenix', 'flight_class': 'Premium Economy', 'origin_city': 'Chicago', 'return_date': '2019-03-10'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'American Airlines', 'departure_date': '2019-03-02', 'destination_city': 'Washington', 'number_checked_bags': '0', 'origin_city': 'Chicago', 'passengers': '1', 'return_date': '2019-03-04'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'Delta Airlines', 'departure_date': '2019-03-10', 'destination_city': 'Chicago', 'number_checked_bags': '0', 'origin_city': 'Seattle', 'passengers': '2', 'return_date': '2019-03-12'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'Southwest Airlines', 'departure_date': '2019-03-03', 'destination_city': 'Seattle', 'flight_class': 'Economy', 'origin_city': 'New York', 'return_date': '2019-03-05'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'American Airlines', 'departure_date': '2019-03-08', 'destination_city': 'Atlanta', 'origin_city': 'San Francisco', 'return_date': '2019-03-10'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'Delta Airlines', 'departure_date': '2019-03-12', 'destination_city': 'Atlanta', 'flight_class': 'Economy', 'origin_city': 'San Francisco', 'passengers': '2', 'return_date': '2019-03-14'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'Delta Airlines', 'departure_date': '2019-03-07', 'destination_city': 'Philadelphia', 'number_checked_bags': '0', 'origin_city': 'Vancouver', 'passengers': '2', 'return_date': '2019-03-09'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'American Airlines', 'departure_date': '2019-03-06', 'destination_city': 'Atlanta', 'flight_class': 'Economy', 'number_checked_bags': '0', 'origin_city': 'Toronto', 'return_date': '2019-03-08'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'American Airlines', 'departure_date': '2019-03-01', 'destination_city': 'San Francisco', 'number_checked_bags': '0', 'origin_city': 'Philadelphia', 'return_date': '2019-03-03'}}"
Flights_3,"{'method': 'SearchRoundtripFlights', 'parameters': {'airlines': 'American Airlines', 'departure_date': '2019-03-07', 'destination_city': 'Las Vegas', 'number_checked_bags': '0', 'origin_city': 'Seattle', 'return_date': '2019-03-09'}}"
RideSharing_1,"{'method': 'GetRide', 'parameters': {'destination': 'Wang Wah', 'number_of_riders': '1', 'shared_ride': 'True'}}"
RideSharing_1,"{'method': 'GetRide', 'parameters': {'destination': '1546 Maurice Lane', 'number_of_riders': '1', 'shared_ride': 'True'}}"
RideSharing_1,"{'method': 'GetRide', 'parameters': {'destination': 'Iberia', 'number_of_riders': '3', 'shared_ride': 'True'}}"
RideSharing_1,"{'method': 'GetRide', 'parameters': {'destination': 'Hop Creek Pub', 'number_of_riders': '1', 'shared_ride': 'True'}}"
RideSharing_1,"{'method': 'GetRide', 'parameters': {'destination': 'CineLux Delta Cinema Saver', 'number_of_riders': '1', 'shared_ride': 'True'}}"
RideSharing_1,"{'method': 'GetRide', 'parameters': {'destination': 'Lers Ros Thai', 'number_of_riders': '1', 'shared_ride': 'True'}}"
RideSharing_1,"{'method': 'GetRide', 'parameters': {'destination': '18300 Carriage Drive', 'number_of_riders': '2', 'shared_ride': 'True'}}"
RideSharing_1,"{'method': 'GetRide', 'parameters': {'destination': '1740 South Winchester Boulevard', 'number_of_riders': '1', 'shared_ride': 'True'}}"
RideSharing_1,"{'method': 'GetRide', 'parameters': {'destination': '1538 Third Ave, East 86th Street', 'number_of_riders': '3', 'shared_ride': 'True'}}"
RideSharing_1,"{'method': 'GetRide', 'parameters': {'destination': 'AMC NewPark 12', 'number_of_riders': '2', 'shared_ride': 'True'}}"
RideSharing_1,"{'method': 'GetRide', 'parameters': {'destination': 'The Grotto San Francisco', 'number_of_riders': '1', 'shared_ride': 'True'}}"
RideSharing_1,"{'method': 'GetRide', 'parameters': {'destination': '1900 University Ave #105', 'number_of_riders': '2', 'shared_ride': 'True'}}"
RideSharing_1,"{'method': 'GetRide', 'parameters': {'destination': ""Mister Jiu's"", 'number_of_riders': '3', 'shared_ride': 'True'}}"
RideSharing_1,"{'method': 'GetRide', 'parameters': {'destination': '655 Redwood Highway Suite 100', 'number_of_riders': '2', 'shared_ride': 'True'}}"
RideSharing_1,"{'method': 'GetRide', 'parameters': {'destination': '125 Crescent Drive', 'number_of_riders': '2', 'shared_ride': 'True'}}"
RideSharing_1,"{'method': 'GetRide', 'parameters': {'destination': '421 Cypress Avenue', 'number_of_riders': '2', 'shared_ride': 'True'}}"
